,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,URL
297,VALERA PHARMACEUTICALS INC,VLRX,NASDAQ,$9,"3,750,000","$33,750,000",2/2/2006,http://www.nasdaq.com/markets/ipos/company/valera-pharmaceuticals-inc-651726-43648
298,"THOMAS WEISEL PARTNERS GROUP, INC.",TWPG,NASDAQ,$15,"6,000,000","$90,000,000",2/2/2006,http://www.nasdaq.com/markets/ipos/company/thomas-weisel-partners-group-inc-688334-46966
299,TERNIUM S.A.,TX,New York Stock Exchange,$20,"24,844,720","$496,894,400",2/1/2006,http://www.nasdaq.com/markets/ipos/company/ternium-sa-695819-48110
300,AMERICAN TELECOM SERVICES INC,TES,American Stock Exchange,$5.05,"3,350,000","$16,917,500",2/1/2006,http://www.nasdaq.com/markets/ipos/company/american-telecom-services-inc-683180-47148
301,"SGX PHARMACEUTICALS, INC.",SGXP,NASDAQ,$6,"4,000,000","$24,000,000",2/1/2006,http://www.nasdaq.com/markets/ipos/company/sgx-pharmaceuticals-inc-375890-46280
302,"INTERCELL USA, INC.",IOMI,NASDAQ,$7,"5,000,000","$35,000,000",2/1/2006,http://www.nasdaq.com/markets/ipos/company/intercell-usa-inc-187001-46752
303,KOPPERS HOLDINGS INC.,KOP,New York Stock Exchange,$14,"10,000,000","$140,000,000",2/1/2006,http://www.nasdaq.com/markets/ipos/company/koppers-holdings-inc-664424-46410
304,"HIMAX TECHNOLOGIES, INC.",HIMX,NASDAQ,$9,"52,000,000","$468,000,000",3/31/2006,http://www.nasdaq.com/markets/ipos/company/himax-technologies-inc-702022-48963
305,PHOENIX INDIA ACQUISITION CORP.,PXIAU,OTCBB,$8,"6,156,250","$49,250,000",3/31/2006,http://www.nasdaq.com/markets/ipos/company/phoenix-india-acquisition-corp-684366-46253
306,CHINA GRENTECH CORP LTD,GRRF,NASDAQ,$18,"6,250,000","$112,500,000",3/29/2006,http://www.nasdaq.com/markets/ipos/company/china-grentech-corp-ltd-702122-48967
307,"GLOBAL TRAFFIC NETWORK, INC.",GNET,NASDAQ,$5,"3,800,000","$19,000,000",3/24/2006,http://www.nasdaq.com/markets/ipos/company/global-traffic-network-inc-693641-47773
308,MACRO BANK INC.,BMA,New York Stock Exchange,$20.35,"9,718,281","$197,767,018",3/24/2006,http://www.nasdaq.com/markets/ipos/company/macro-bank-inc-695515-48076
309,CLAYTON HOLDINGS INC,CLAY,NASDAQ,$17,"7,500,000","$127,500,000",3/24/2006,http://www.nasdaq.com/markets/ipos/company/clayton-holdings-inc-672389-47217
310,TIM HORTONS INC.,THI,New York Stock Exchange,$23.16,"29,000,000","$671,640,000",3/24/2006,http://www.nasdaq.com/markets/ipos/company/tim-hortons-inc-692212-47540
311,EFUTURE INFORMATION TECHNOLOGY INC.,EFUT,NASDAQ,$6,"1,500,000","$9,000,000",3/23/2006,http://www.nasdaq.com/markets/ipos/company/efuture-information-technology-inc-677592-45143
312,"NORTH AMERICAN INSURANCE LEADERS, INC.",NAO,American Stock Exchange,$8,"12,500,000","$100,000,000",3/23/2006,http://www.nasdaq.com/markets/ipos/company/north-american-insurance-leaders-inc-683927-46143
313,NEXTEST SYSTEMS CORP,NEXT,NASDAQ,$14,"5,400,000","$75,600,000",3/22/2006,http://www.nasdaq.com/markets/ipos/company/nextest-systems-corp-98878-47582
314,PET DRX CORP,EHHAU,OTCBB,$8,"6,250,000","$50,000,000",3/17/2006,http://www.nasdaq.com/markets/ipos/company/pet-drx-corp-679890-45496
315,TRANSDIGM GROUP INC,TDG,New York Stock Exchange,$21,"10,954,570","$230,045,970",3/15/2006,http://www.nasdaq.com/markets/ipos/company/transdigm-group-inc-590095-47807
316,"JAZZ TECHNOLOGIES, INC.",AQR-U,American Stock Exchange,$6,"25,000,000","$150,000,000",3/13/2006,http://www.nasdaq.com/markets/ipos/company/jazz-technologies-inc-684476-46279
317,"UAN CULTURAL & CREATIVE CO., LTD.",GHBAU,OTCBB,$8.50,"500,000","$4,250,000",3/10/2006,http://www.nasdaq.com/markets/ipos/company/uan-cultural-creative-co-ltd-685488-46485
318,TAM S.A.,TAM,New York Stock Exchange,$19.43,"23,869,565","$463,785,648",3/10/2006,http://www.nasdaq.com/markets/ipos/company/tam-sa-700015-48711
319,"EAGLE TEST SYSTEMS, INC.",EGLT,NASDAQ,$15.50,"6,500,000","$100,750,000",3/9/2006,http://www.nasdaq.com/markets/ipos/company/eagle-test-systems-inc-642552-47821
320,ALEXZA PHARMACEUTICALS INC.,ALXA,NASDAQ,$8,"5,500,000","$44,000,000",3/8/2006,http://www.nasdaq.com/markets/ipos/company/alexza-pharmaceuticals-inc-694307-47875
321,ORACLE HEALTHCARE ACQUISITION CORP.,OHAQU,OTCBB,$8,"15,000,000","$120,000,000",3/3/2006,http://www.nasdaq.com/markets/ipos/company/oracle-healthcare-acquisition-corp-686969-46739
322,"INDIA GLOBALIZATION CAPITAL, INC.",IGC-U,American Stock Exchange,$6,"9,830,000","$58,980,000",3/3/2006,http://www.nasdaq.com/markets/ipos/company/india-globalization-capital-inc-673973-44620
323,"CPI INTERNATIONAL, INC.",CPII,NASDAQ,$18,"7,058,870","$127,059,660",4/28/2006,http://www.nasdaq.com/markets/ipos/company/cpi-international-inc-628342-47885
324,AMERICAN MOLD GUARD INC,AMGIU,NASDAQ,$13,"1,350,000","$17,550,000",4/27/2006,http://www.nasdaq.com/markets/ipos/company/american-mold-guard-inc-695483-48064
325,AMERICAN OVERSEAS GROUP LIMITED,RAMR,NASDAQ,$13,"9,409,405","$122,322,265",4/27/2006,http://www.nasdaq.com/markets/ipos/company/american-overseas-group-limited-699085-48585
326,COREL CORP,CREL,NASDAQ,$16,"6,500,000","$104,000,000",4/26/2006,http://www.nasdaq.com/markets/ipos/company/corel-corp-7684-49306
327,HARBOR ACQUISITION CORP.,HAC-U,American Stock Exchange,$6,"10,000,000","$60,000,000",4/26/2006,http://www.nasdaq.com/markets/ipos/company/harbor-acquisition-corp-678672-45300
328,SHANGHAI CENTURY ACQUISITION CORP,SHA-U,American Stock Exchange,$8,"12,500,000","$100,000,000",4/25/2006,http://www.nasdaq.com/markets/ipos/company/shanghai-century-acquisition-corp-692983-47689
329,"OMRIX BIOPHARMACEUTICALS, INC.",OMRI,NASDAQ,$10,"3,437,500","$34,375,000",4/21/2006,http://www.nasdaq.com/markets/ipos/company/omrix-biopharmaceuticals-inc-696469-48206
330,"SPN FAIRWAY ACQUISITION, INC.",CPX,New York Stock Exchange,$24,"26,000,000","$624,000,000",4/21/2006,http://www.nasdaq.com/markets/ipos/company/spn-fairway-acquisition-inc-686970-46740
331,SOUTHPEAK INTERACTIVE CORP,GSPAU,OTCBB,$8.50,"400,000","$3,400,000",4/20/2006,http://www.nasdaq.com/markets/ipos/company/southpeak-interactive-corp-685487-46484
332,ASIA AUTOMOTIVE ACQUISITION CORP.,AAACU,OTCBB,$8,"4,375,000","$35,000,000",4/13/2006,http://www.nasdaq.com/markets/ipos/company/asia-automotive-acquisition-corp-683498-46064
333,"CATALYST BIOSCIENCES, INC.",TRGT,NASDAQ,$9,"5,000,000","$45,000,000",4/12/2006,http://www.nasdaq.com/markets/ipos/company/catalyst-biosciences-inc-187177-48175
334,VANDA PHARMACEUTICALS INC.,VNDA,NASDAQ,$10,"5,750,000","$57,500,000",4/12/2006,http://www.nasdaq.com/markets/ipos/company/vanda-pharmaceuticals-inc-694845-47958
335,"GOLDEN GATE HOMES, INC.",JKA-U,American Stock Exchange,$6,"9,666,666","$57,999,996",4/11/2006,http://www.nasdaq.com/markets/ipos/company/golden-gate-homes-inc-675133-44755
336,"OMEGA NAVIGATION ENTERPRISES, INC.",ONAV,NASDAQ,$17,"8,695,747","$147,827,699",4/7/2006,http://www.nasdaq.com/markets/ipos/company/omega-navigation-enterprises-inc-702558-49025
337,SEALY CORP,ZZ,New York Stock Exchange,$16,"28,000,000","$448,000,000",4/7/2006,http://www.nasdaq.com/markets/ipos/company/sealy-corp-9445-45291
338,GOODMAN GLOBAL INC,GGL,New York Stock Exchange,$18,"23,529,411","$423,529,398",4/6/2006,http://www.nasdaq.com/markets/ipos/company/goodman-global-inc-661175-48494
339,CASTLE BRANDS INC,ROX,American Stock Exchange,$9,"3,500,000","$31,500,000",4/6/2006,http://www.nasdaq.com/markets/ipos/company/castle-brands-inc-659265-46685
340,VISICU INC,EICU,NASDAQ,$16,"6,000,000","$96,000,000",4/5/2006,http://www.nasdaq.com/markets/ipos/company/visicu-inc-98655-47504
341,GENERAL FINANCE CORP,GFN-U,American Stock Exchange,$8,"7,500,000","$60,000,000",4/5/2006,http://www.nasdaq.com/markets/ipos/company/general-finance-corp-691335-47381
342,"LAKE SHORE BANCORP, INC.",LSBK,NASDAQ,$10,"2,587,500","$25,875,000",4/4/2006,http://www.nasdaq.com/markets/ipos/company/lake-shore-bancorp-inc-689927-47188
343,"MUELLER WATER PRODUCTS, INC.",MWA,New York Stock Exchange,$16,"25,000,000","$400,000,000",5/26/2006,http://www.nasdaq.com/markets/ipos/company/mueller-water-products-inc-698370-48482
344,MASTERCARD INC,MA,New York Stock Exchange,$39,"61,520,912","$2,399,315,568",5/25/2006,http://www.nasdaq.com/markets/ipos/company/mastercard-inc-87022-46475
345,VONAGE HOLDINGS CORP,VG,New York Stock Exchange,$17,"31,250,000","$531,250,000",5/24/2006,http://www.nasdaq.com/markets/ipos/company/vonage-holdings-corp-609883-48521
346,DARWIN PROFESSIONAL UNDERWRITERS INC,DR,New York Stock Exchange,$16,"5,217,391","$83,478,256",5/19/2006,http://www.nasdaq.com/markets/ipos/company/darwin-professional-underwriters-inc-702001-48951
347,EMBARQ CORP,EQ,New York Stock Exchange,$24.47,"3,500","$85,645",5/18/2006,http://www.nasdaq.com/markets/ipos/company/embarq-corp-696845-49497
348,BURGER KING HOLDINGS INC,BKC,New York Stock Exchange,$17,"25,000,000","$425,000,000",5/18/2006,http://www.nasdaq.com/markets/ipos/company/burger-king-holdings-inc-699836-48688
349,PENSON WORLDWIDE INC,PNSN,NASDAQ,$17,"7,465,761","$126,917,937",5/17/2006,http://www.nasdaq.com/markets/ipos/company/penson-worldwide-inc-79457-45881
350,"RESTORE MEDICAL, INC.",REST,NASDAQ,$8,"4,000,000","$32,000,000",5/17/2006,http://www.nasdaq.com/markets/ipos/company/restore-medical-inc-702020-48960
351,"BIOMIMETIC THERAPEUTICS, INC.",BMTI,NASDAQ,$8,"4,600,000","$36,800,000",5/12/2006,http://www.nasdaq.com/markets/ipos/company/biomimetic-therapeutics-inc-166044-48557
352,"BASIN WATER, INC.",BWTR,NASDAQ,$12,"6,000,000","$72,000,000",5/12/2006,http://www.nasdaq.com/markets/ipos/company/basin-water-inc-699194-48609
353,KITARA MEDIA CORP.,ASAQU,OTCBB,$6,"6,000,000","$36,000,000",5/12/2006,http://www.nasdaq.com/markets/ipos/company/kitara-media-corp-698369-48473
354,COMPASS GROUP DIVERSIFIED HOLDINGS LLC,CODI,NASDAQ,$15,"13,500,000","$202,500,000",5/11/2006,http://www.nasdaq.com/markets/ipos/company/compass-group-diversified-holdings-llc-693380-47726
355,"ALLIANCE HOLDINGS GP, L.P.",AHGP,NASDAQ,$25,"12,500,000","$312,500,000",5/10/2006,http://www.nasdaq.com/markets/ipos/company/alliance-holdings-gp-lp-691539-47412
356,"PARATEK PHARMACEUTICALS, INC.",NOVC,NASDAQ,$6.50,"6,250,000","$40,625,000",5/10/2006,http://www.nasdaq.com/markets/ipos/company/paratek-pharmaceuticals-inc-375240-48572
357,"NORTHSTAR NEUROSCIENCE, INC.",NSTR,NASDAQ,$15,"7,100,000","$106,500,000",5/5/2006,http://www.nasdaq.com/markets/ipos/company/northstar-neuroscience-inc-701058-48843
358,EUROSEAS LTD.,ESEAF,OTCBB,$7,"9,602,340","$67,216,380",5/5/2006,http://www.nasdaq.com/markets/ipos/company/euroseas-ltd-688456-46981
359,DYNCORP INTERNATIONAL INC.,DCP,New York Stock Exchange,$15,"25,000,000","$375,000,000",5/4/2006,http://www.nasdaq.com/markets/ipos/company/dyncorp-international-inc-686518-46651
360,"DELEK US HOLDINGS, INC.",DK,New York Stock Exchange,$16,"10,000,000","$160,000,000",5/4/2006,http://www.nasdaq.com/markets/ipos/company/delek-us-holdings-inc-698785-48532
361,AVENTINE RENEWABLE ENERGY HOLDINGS INC,AVR,New York Stock Exchange,$43,"9,058,450","$389,513,350",6/29/2006,http://www.nasdaq.com/markets/ipos/company/aventine-renewable-energy-holdings-inc-628888-49235
362,GMARKET INC.,GMKT,NASDAQ,$15.25,"9,119,565","$139,073,366",6/29/2006,http://www.nasdaq.com/markets/ipos/company/gmarket-inc-711294-50221
363,J CREW GROUP INC,JCG,New York Stock Exchange,$20,"18,800,000","$376,000,000",6/28/2006,http://www.nasdaq.com/markets/ipos/company/j-crew-group-inc-45914-46003
364,"OMNITURE, INC.",OMTR,NASDAQ,$6.50,"10,700,000","$69,550,000",6/28/2006,http://www.nasdaq.com/markets/ipos/company/omniture-inc-704276-49314
365,"PGT, INC.",PGTI,NASDAQ,$14,"8,823,529","$123,529,406",6/28/2006,http://www.nasdaq.com/markets/ipos/company/pgt-inc-702015-48957
366,CARDIOVASCULAR SYSTEMS INC,RDYN,NASDAQ,$10,"4,500,000","$45,000,000",6/28/2006,http://www.nasdaq.com/markets/ipos/company/cardiovascular-systems-inc-376746-49328
367,CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,New York Stock Exchange,$74.22,"13,500,000","$1,001,970,000",6/26/2006,http://www.nasdaq.com/markets/ipos/company/currencyshares-australian-dollar-trust-702014-48956
368,CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,New York Stock Exchange,$184.25,"8,000,000","$1,474,000,000",6/26/2006,http://www.nasdaq.com/markets/ipos/company/currencyshares-british-pound-sterling-trust-702013-48955
369,CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,New York Stock Exchange,$89.02,"11,500,000","$1,023,730,000",6/26/2006,http://www.nasdaq.com/markets/ipos/company/currencyshares-canadian-dollar-trust-702011-48953
370,CURRENCYSHARES SWISS FRANC TRUST,FXF,New York Stock Exchange,$81.10,"12,500,000","$1,013,750,000",6/26/2006,http://www.nasdaq.com/markets/ipos/company/currencyshares-swiss-franc-trust-702021-48961
371,CURRENCYSHARES MEXICAN PESO TRUST,FXM,New York Stock Exchange,$87.39,"12,000,000","$1,048,680,000",6/26/2006,http://www.nasdaq.com/markets/ipos/company/currencyshares-mexican-peso-trust-702016-48958
372,CURRENCYSHARES SWEDISH KRONA TRUST,FXS,New York Stock Exchange,$136.87,"7,500,000","$1,026,525,000",6/26/2006,http://www.nasdaq.com/markets/ipos/company/currencyshares-swedish-krona-trust-702012-48954
373,HOME BANCSHARES INC,HOMB,NASDAQ,$18,"2,500,000","$45,000,000",6/23/2006,http://www.nasdaq.com/markets/ipos/company/home-bancshares-inc-678396-48987
374,TECHWELL INC,TWLL,NASDAQ,$9,"5,500,000","$49,500,000",6/21/2006,http://www.nasdaq.com/markets/ipos/company/techwell-inc-107797-48119
375,"EASTERN INSURANCE HOLDINGS, INC.",EIHI,NASDAQ,$10,"8,305,556","$83,055,560",6/19/2006,http://www.nasdaq.com/markets/ipos/company/eastern-insurance-holdings-inc-669282-46849
376,BEVERLY NATIONAL CORP,BNV,American Stock Exchange,$22,"700,000","$15,400,000",6/19/2006,http://www.nasdaq.com/markets/ipos/company/beverly-national-corp-5944-49980
377,GOLFSMITH INTERNATIONAL HOLDINGS INC,GOLF,NASDAQ,$11.50,"6,000,000","$69,000,000",6/15/2006,http://www.nasdaq.com/markets/ipos/company/golfsmith-international-holdings-inc-384817-48979
378,HOUSTON WIRE & CABLE CO,HWCC,NASDAQ,$13,"8,500,000","$110,500,000",6/15/2006,http://www.nasdaq.com/markets/ipos/company/houston-wire-cable-co-703428-49134
379,VOLCANO CORP,VOLC,NASDAQ,$8,"6,800,000","$54,400,000",6/15/2006,http://www.nasdaq.com/markets/ipos/company/volcano-corp-703371-49124
380,SYNCHRONOSS TECHNOLOGIES INC,SNCR,NASDAQ,$8,"7,066,054","$56,528,432",6/15/2006,http://www.nasdaq.com/markets/ipos/company/synchronoss-technologies-inc-153721-48809
381,VERASUN ENERGY CORP,VSE,New York Stock Exchange,$23,"18,250,000","$419,750,000",6/14/2006,http://www.nasdaq.com/markets/ipos/company/verasun-energy-corp-689694-49237
382,VERIGY LTD.,VRGY,NASDAQ,$15,"8,500,000","$127,500,000",6/13/2006,http://www.nasdaq.com/markets/ipos/company/verigy-ltd-701756-48919
383,"LOOPNET, INC.",LOOP,NASDAQ,$12,"6,000,000","$72,000,000",6/7/2006,http://www.nasdaq.com/markets/ipos/company/loopnet-inc-701065-48844
384,COMMUNITY BANKERS TRUST CORP,BTC.U,American Stock Exchange,$8,"7,500,000","$60,000,000",6/6/2006,http://www.nasdaq.com/markets/ipos/company/community-bankers-trust-corp-671339-44209
385,TOWN SPORTS INTERNATIONAL HOLDINGS INC,CLUB,NASDAQ,$13,"8,950,000","$116,350,000",6/2/2006,http://www.nasdaq.com/markets/ipos/company/town-sports-international-holdings-inc-630150-45370
386,LUNA INNOVATIONS INC,LUNA,NASDAQ,$6,"3,500,000","$21,000,000",6/2/2006,http://www.nasdaq.com/markets/ipos/company/luna-innovations-inc-410393-48588
387,HD PARTNERS ACQUISITION CORP,HDP.U,American Stock Exchange,$8,"18,750,000","$150,000,000",6/2/2006,http://www.nasdaq.com/markets/ipos/company/hd-partners-acquisition-corp-693913-47825
388,"ALPHATEC HOLDINGS, INC.",ATEC,NASDAQ,$9,"9,300,000","$83,700,000",6/2/2006,http://www.nasdaq.com/markets/ipos/company/alphatec-holdings-inc-698514-48502
389,"CTC MEDIA, INC.",CTCM,NASDAQ,$14,"24,709,389","$345,931,446",6/1/2006,http://www.nasdaq.com/markets/ipos/company/ctc-media-inc-701422-48886
390,"CRYSTAL RIVER CAPITAL, INC.",CRZ,New York Stock Exchange,$23,"7,500,000","$172,500,000",7/28/2006,http://www.nasdaq.com/markets/ipos/company/crystal-river-capital-inc-692968-47682
391,"GEOMET, INC.",GMET,NASDAQ,$10,"10,250,000","$102,500,000",7/28/2006,http://www.nasdaq.com/markets/ipos/company/geomet-inc-699003-48556
392,"GEOMET, INC.",GMET,NASDAQ,$10,"5,000,000","$50,000,000",7/28/2006,http://www.nasdaq.com/markets/ipos/company/geomet-inc-699003-49869
393,"O2 SECURE WIRELESS, INC.",OTOW,OTCBB,$1.50,"9,599,783","$14,399,675",7/27/2006,http://www.nasdaq.com/markets/ipos/company/o2-secure-wireless-inc-673912-44598
394,CHART INDUSTRIES INC,GTLS,NASDAQ,$15,"12,500,000","$187,500,000",7/26/2006,http://www.nasdaq.com/markets/ipos/company/chart-industries-inc-7819-49450
395,"AFFINITY MEDIA INTERNATIONAL CORP.,",AFMI,OTCBB,$6,"2,750,000","$16,500,000",7/26/2006,http://www.nasdaq.com/markets/ipos/company/affinity-media-international-corp-686900-46711
396,WNS (HOLDINGS) LTD,WNS,New York Stock Exchange,$20,"11,202,708","$224,054,160",7/26/2006,http://www.nasdaq.com/markets/ipos/company/wns-holdings-ltd-714093-50634
397,LIBERTY BANCORP INC,LBCP,Nasdaq Smallcap Market,$10,"2,794,750","$27,947,500",7/24/2006,http://www.nasdaq.com/markets/ipos/company/liberty-bancorp-inc-701243-49761
398,TARGA ENERGY LP,AHD,New York Stock Exchange,$23,"3,600,000","$82,800,000",7/21/2006,http://www.nasdaq.com/markets/ipos/company/targa-energy-lp-696011-48138
399,CLEVELAND BIOLABS INC,CBLI,NASDAQ,$6,"1,700,000","$10,200,000",7/21/2006,http://www.nasdaq.com/markets/ipos/company/cleveland-biolabs-inc-665432-48703
400,ISHARES S&P GSCI COMMODITY-INDEXED TRUST,GSG,New York Stock Exchange,$50,"13,949,600","$697,480,000",7/21/2006,http://www.nasdaq.com/markets/ipos/company/ishares-sp-gsci-commodityindexed-trust-680450-45594
401,MILLENNIUM INVESTMENT & ACQUISITION CO INC.,MQC.U,American Stock Exchange,$8,"7,250,000","$58,000,000",7/20/2006,http://www.nasdaq.com/markets/ipos/company/millennium-investment-acquisition-co-inc-704899-49409
402,ENERGY INFRASTRUCTURE ACQUISITION CORP.,EIIU,American Stock Exchange,$10,"20,250,000","$202,500,000",7/19/2006,http://www.nasdaq.com/markets/ipos/company/energy-infrastructure-acquisition-corp-698603-48517
403,"COWEN HOLDINGS, INC.",COWN,NASDAQ,$16,"11,217,392","$179,478,272",7/14/2006,http://www.nasdaq.com/markets/ipos/company/cowen-holdings-inc-702930-49077
404,"NUSTAR GP HOLDINGS, LLC",VEH,New York Stock Exchange,$22,"17,250,000","$379,500,000",7/14/2006,http://www.nasdaq.com/markets/ipos/company/nustar-gp-holdings-llc-704008-49272
405,ISRAEL GROWTH PARTNERS ACQUISITION CORP.,IGPAU,OTCBB,$8.50,"500,000","$4,250,000",7/13/2006,http://www.nasdaq.com/markets/ipos/company/israel-growth-partners-acquisition-corp-685491-46487
406,"ALLIED WORLD ASSURANCE CO HOLDINGS, AG",AWH,New York Stock Exchange,$34,"8,800,000","$299,200,000",7/12/2006,http://www.nasdaq.com/markets/ipos/company/allied-world-assurance-co-holdings-ag-131531-49029
407,ROMA FINANCIAL CORP,ROMA,NASDAQ,$10,"9,819,562","$98,195,620",7/12/2006,http://www.nasdaq.com/markets/ipos/company/roma-financial-corp-702270-48980
408,"ASCENT SOLAR TECHNOLOGIES, INC.",ASTIU,NASDAQ,$5.50,"3,000,000","$16,500,000",7/11/2006,http://www.nasdaq.com/markets/ipos/company/ascent-solar-technologies-inc-696833-48259
409,ENERGY SERVICES OF AMERICA CORP,ESA.U,American Stock Exchange,$6,"8,600,000","$51,600,000",8/31/2006,http://www.nasdaq.com/markets/ipos/company/energy-services-of-america-corp-704742-49380
410,MARATHON ACQUISITION CORP.,MAQ.U,American Stock Exchange,$8,"37,500,000","$300,000,000",8/25/2006,http://www.nasdaq.com/markets/ipos/company/marathon-acquisition-corp-708612-49875
411,INNERWORKINGS INC,INWK,NASDAQ,$9,"10,590,000","$95,310,000",8/17/2006,http://www.nasdaq.com/markets/ipos/company/innerworkings-inc-696885-49810
412,EVERCORE PARTNERS INC.,EVR,New York Stock Exchange,$21,"3,950,000","$82,950,000",8/11/2006,http://www.nasdaq.com/markets/ipos/company/evercore-partners-inc-708622-49883
413,"GLOBAL EMPLOYMENT HOLDINGS, INC.",GEYH,OTCBB,$5,"14,555,876","$72,779,380",8/10/2006,http://www.nasdaq.com/markets/ipos/company/global-employment-holdings-inc-696534-49674
414,QIMONDA AG,QI,New York Stock Exchange,$13,"42,000,000","$546,000,000",8/9/2006,http://www.nasdaq.com/markets/ipos/company/qimonda-ag-715554-50819
415,AIRCASTLE LTD,AYR,New York Stock Exchange,$23,"9,090,900","$209,090,700",8/8/2006,http://www.nasdaq.com/markets/ipos/company/aircastle-ltd-710699-50156
416,BUCKEYE GP HOLDINGS L.P.,BGH,New York Stock Exchange,$17,"10,500,000","$178,500,000",8/4/2006,http://www.nasdaq.com/markets/ipos/company/buckeye-gp-holdings-lp-706115-49541
417,"OSIRIS THERAPEUTICS, INC.",OSIR,NASDAQ,$11,"3,500,000","$38,500,000",8/4/2006,http://www.nasdaq.com/markets/ipos/company/osiris-therapeutics-inc-708518-49855
418,SYNCORA HOLDINGS LTD,SCA,New York Stock Exchange,$20.50,"22,447,728","$460,178,424",8/2/2006,http://www.nasdaq.com/markets/ipos/company/syncora-holdings-ltd-704668-49354
419,BARE ESCENTUALS INC,BARE,NASDAQ,$22,"16,000,000","$352,000,000",9/29/2006,http://www.nasdaq.com/markets/ipos/company/bare-escentuals-inc-641174-50571
420,"OMNI FINANCIAL SERVICES, INC.",OFSI,NASDAQ,$9.50,"3,350,000","$31,825,000",9/29/2006,http://www.nasdaq.com/markets/ipos/company/omni-financial-services-inc-711918-50318
421,SHUTTERFLY INC,SFLY,NASDAQ,$15,"5,800,000","$87,000,000",9/29/2006,http://www.nasdaq.com/markets/ipos/company/shutterfly-inc-158820-50538
422,"ICF INTERNATIONAL, INC.",ICFI,NASDAQ,$12,"4,670,000","$56,040,000",9/28/2006,http://www.nasdaq.com/markets/ipos/company/icf-international-inc-708482-49845
423,"CV HOLDINGS, INC.",CBF,New York Stock Exchange,$14.50,"9,600,000","$139,200,000",9/28/2006,http://www.nasdaq.com/markets/ipos/company/cv-holdings-inc-677766-48867
424,"EV ENERGY PARTNERS, LP",EVEP,NASDAQ,$20,"3,900,000","$78,000,000",9/27/2006,http://www.nasdaq.com/markets/ipos/company/ev-energy-partners-lp-708742-49909
425,MINDRAY MEDICAL INTERNATIONAL LTD,MR,New York Stock Exchange,$13.50,"20,000,000","$270,000,000",9/27/2006,http://www.nasdaq.com/markets/ipos/company/mindray-medical-international-ltd-720126-51429
426,ZION OIL & GAS INC,ZN,American Stock Exchange,$7,"2,000,000","$14,000,000",9/26/2006,http://www.nasdaq.com/markets/ipos/company/zion-oil-gas-inc-95561-48302
427,"PORTER BANCORP, INC.",PBIB,NASDAQ,$24,"1,550,000","$37,200,000",9/22/2006,http://www.nasdaq.com/markets/ipos/company/porter-bancorp-inc-704985-49417
428,DIVX INC,DIVX,NASDAQ,$16,"9,100,000","$145,600,000",9/22/2006,http://www.nasdaq.com/markets/ipos/company/divx-inc-689453-49762
429,COMMVAULT SYSTEMS INC,CVLT,NASDAQ,$14.50,"11,111,111","$161,111,110",9/22/2006,http://www.nasdaq.com/markets/ipos/company/commvault-systems-inc-103111-49047
430,"RIVERBED TECHNOLOGY, INC.",RVBD,NASDAQ,$9.75,"8,800,000","$85,800,000",9/21/2006,http://www.nasdaq.com/markets/ipos/company/riverbed-technology-inc-706119-49544
431,HOME DIAGNOSTICS INC,HDIX,NASDAQ,$12,"6,599,487","$79,193,844",9/21/2006,http://www.nasdaq.com/markets/ipos/company/home-diagnostics-inc-301349-49700
432,WARNER CHILCOTT PLC,WCRX,NASDAQ,$15,"70,600,000","$1,059,000,000",9/21/2006,http://www.nasdaq.com/markets/ipos/company/warner-chilcott-plc-670978-50264
433,"HILAND HOLDINGS GP, LP",HPGP,NASDAQ,$18.50,"7,000,000","$129,500,000",9/20/2006,http://www.nasdaq.com/markets/ipos/company/hiland-holdings-gp-lp-709995-50065
434,POWERSHARES DB G10 CURRENCY HARVEST FUND,DBV,American Stock Exchange,$25,"1,000,000","$25,000,000",9/18/2006,http://www.nasdaq.com/markets/ipos/company/powershares-db-g10-currency-harvest-fund-702524-49020
435,GOLD RESOURCE CORP,GORO,OTCBB,$1,"15,910,707","$15,910,707",9/14/2006,http://www.nasdaq.com/markets/ipos/company/gold-resource-corp-689353-47102
436,SECURITY DEVICES INTERNATIONAL INC.,SDEV,OTCBB,$0.20,"2,814,880","$562,976",9/12/2006,http://www.nasdaq.com/markets/ipos/company/security-devices-international-inc-702407-49008
437,NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,EDU,New York Stock Exchange,$15,"7,500,000","$112,500,000",9/7/2006,http://www.nasdaq.com/markets/ipos/company/new-oriental-education-technology-group-inc-719040-51270
438,OPTIUM CORP,OPTM,NASDAQ,$17.50,"5,200,000","$91,000,000",10/27/2006,http://www.nasdaq.com/markets/ipos/company/optium-corp-397858-50561
439,HOMEINNS HOTEL GROUP,HMIN,NASDAQ,$13.80,"7,900,000","$109,020,000",10/26/2006,http://www.nasdaq.com/markets/ipos/company/homeinns-hotel-group-722610-51814
440,ACHILLION PHARMACEUTICALS INC,ACHN,NASDAQ,$11.50,"4,500,000","$51,750,000",10/26/2006,http://www.nasdaq.com/markets/ipos/company/achillion-pharmaceuticals-inc-121986-49273
