cik,days_to_first_price_update,days_to_final_price_revision,days_from_priced_to_listing,days_from_s1_to_listing,size_of_first_price_update,size_of_final_price_revision,percent_first_price_update,percent_final_price_revision,pct_first_price_change,days_to_first_price_change,prange_change_first_price_update,prange_change_plus,delay_in_price_update,number_of_price_updates,number_of_price_updates_up,number_of_price_updates_down,offer_in_filing_price_range,Coname,Year,date_1st_pricing,date_last_pricing,date_s1_filing,date_424b,date_trading,Date,Offer Price,Open,Close,High,Low,Volume,open_return,close_return,SIC,FF49_industry,BAA_yield_changes,confidential_IPO,foreign,exchange,amends,VC,underwriter_rank_single,underwriter_rank_avg,underwriter_rank_med,underwriter_num_leads,underwriter_collective_rank,underwriter_tier,share_overhang,shares_offered,total_dual_class_shares,proceeds,market_cap,liab_over_assets,price_to_earnings,price_to_sales,EPS,sales,priceupdate_down,priceupdate_up,M3_IPO_volume,M3_indust_rets,M3_initial_returns,M3_pct_above_midpoint,IoT_15day_CASI_all,IoT_15day_CASI_business_industrial,IoT_15day_CASI_finance,IoT_15day_CASI_weighted_finance,IoT_30day_CASI_all,IoT_30day_CASI_business_industrial,IoT_30day_CASI_finance,IoT_30day_CASI_weighted_finance,IoT_60day_CASI_all,IoT_60day_CASI_business_industrial,IoT_60day_CASI_finance,IoT_60day_CASI_weighted_finance,IoT_15day_CASI_news,IoT_30day_CASI_news,IoT_entity_type,amendment,gtrends_name,pct_final_revision_down,pct_final_revision_up,pct_first_price_change_up,pct_first_price_change_down,media_1st_pricing,media_listing,lockup_expiration,lockup_period,underwriter_syndicate_size,num_S1A,original_prange,prange_change_pct,original_price_is_range,original_prange_size,num_priced_S1A,num_SEC_amendments,num_roadshow_S1A,underwriter_first_lead,underwriter_groups,stddev_prices_10day,stddev_prices_5day
0827871,,15.0,15.0,55.0,,0.0,,0.0,0.0,15.0,,0.0,100.0,0,0,0,within,"EAGLE PHARMACEUTICALS, INC.",2014,2014-01-28,2014-02-12,2013-12-20,2014-02-13,2014-02-12,2014/02/12,15.0,15.5,12.829999923706055,16.440000534057614,12.75,5939246.0,3.3333332538604736,-14.466666221618652,2834,Drugs,-0.1899999976158142,0,0,NASDAQ,None,1,7.500999927520753,7.300000190734862,7.300000190734862,2,14.5,7+,4.154848575592041,3350000.0,13918742.0,50250000.0,208781130.0,0.9569836082977496,-64.13887013224,38.018512027081535,-0.2338675434892033,5491565.0,0.0,0.0,14.666666984558105,2.696666717529297,24.16666603088379,35.0,-0.010848599004577141,0.197774606490818,0.0,0.06230866916208028,0.8502711991096841,8.502928283177107,0.0,3.117733160762264,7.021160911582509,49.32569091729827,0.0,18.782283942960266,0.197774606490818,8.502928283177107,Search term,0.0,Eagle Pharmaceuticals,0.0,0.0,0.0,0.0,0,0,2014-08-11,180,3,7,[],,False,0.0,4,3,4,Piper Jaffray and Co.,Multiple Lead Underwriters,0.6876343505090475,0.3553927404998587
0842633,,17.0,17.0,291.0,,-1.0,,-8.333333333333332,-8.333333333333332,17.0,,0.0,100.0,1,0,1,within,TRIMAS CORP,2007,2007-05-01,2007-05-18,2006-08-03,2007-05-21,2007-05-18,2007/05/18,11.0,11.550000190734865,11.75,12.43000030517578,11.270000457763672,5880200.0,5.0,6.8181819915771475,3790,Autos,0.119999997317791,0,0,New York Stock Exchange,None,0,9.00100040435791,4.5,4.5,2,9.0,0+,2.887227296829224,11000000.0,31759500.0,132000000.0,381114000.0,0.8159289312771604,54.058723404255325,1.3293592382015418,0.22198082463514854,286690000.0,0.0,0.0,15.333333015441895,4.099999904632568,7.9000000953674325,46.0,-0.2666689010505155,0.0,0.0,-0.08888963368350516,0.938760401119643,0.0,0.0,0.31292013370654764,2.1777134950180685,0.0,0.0,0.7259044983393561,-0.2666689010505155,0.938760401119643,Search term,0.0,Trimas,8.333333333333332,0.0,0.0,-8.333333333333332,0,8,2007-11-14,180,7,8,"[11.0, 13.0]",-100.0,True,2.0,3,5,3,"Goldman, Sachs and Co",Multiple Lead Underwriters,0.21226398658274542,0.15184202316881829
0847935,,29.0,29.0,68.0,,0.0,,0.0,0.0,29.0,,0.0,100.0,0,0,0,within,ALLION HEALTHCARE INC,2005,2005-05-24,2005-06-22,2005-04-15,2005-06-22,2005-06-22,2005/06/22,13.0,14.0,16.5,19.399999618530273,13.649999618530273,2316206.0,7.692307472229004,26.923076629638672,5912,Rtail,-0.05000000074505806,0,0,NASDAQ Global Market,None,1,8.00100040435791,8.0,8.0,1,8.0,7+,2.9737389087677,4000000.0,11894956.0,52000000.0,154634428.0,0.6579659972656833,11807.760232131948,6.813365269416753,0.0011009708652978624,22695749.0,0.0,0.0,8.0,0.4433333277702332,9.366666793823242,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Search term,0.0,Allion Healthcare,0.0,0.0,0.0,0.0,0,0,2005-12-19,180,3,3,"[12.0, 14.0]",-100.0,True,2.0,2,1,1,Thomas Weisel Partners LLC,Thomas Weisel Partners LLC,0.5583777932547106,0.4751589207833524
0854709,,19.0,19.0,77.0,,-2.0,,-14.285714285714285,-14.285714285714285,19.0,,0.0,100.0,1,0,1,under,DAYTON SUPERIOR CORP,2006,2006-12-01,2006-12-20,2006-10-04,2006-12-20,2006-12-20,2006/12/20,12.0,12.0,11.5,12.140000343322756,10.899999618530273,3641638.0,0.0,-4.166666507720946,3440,BldMt,-0.20000000298023224,0,0,NASDAQ Global Market,None,0,7.000999927520753,7.0,7.0,1,7.0,0+,2.391500949859619,7850000.0,18773284.0,109900000.0,262825976.0,1.5776448464805628,-33.172532626530355,0.7236657038935865,-0.4220359101795935,363187000.0,0.0,0.0,21.33333396911621,3.3866667747497563,15.833333015441895,40.33333206176758,0.24084044467386426,0.2704452577029672,0.0,0.1704285674589438,1.2235257452945922,1.0699613105071155,0.0,0.7644956852672359,0.8548925745213382,-1.3592801631583216,0.0,-0.1681291962123278,0.2704452577029672,1.0699613105071155,Company,0.0,Dayton Superior,14.285714285714285,0.0,0.0,-14.285714285714285,0,6,2007-06-18,180,4,6,"[13.0, 15.0]",-100.0,True,2.0,4,2,3,Robert W. Baird and Co. Incorporated,Robert W. Baird and Co. Incorporated,0.32192545721020577,0.3106380530456628
0858339,,6.0,6.0,85.0,,0.0,,0.0,0.0,6.0,,0.0,100.0,0,0,0,within,CAESARS ENTERTAINMENT CORP,2012,2012-02-02,2012-02-08,2011-11-15,2012-02-08,2012-02-08,2012/02/08,9.0,9.0600004196167,15.390000343322756,17.899999618530273,9.0,11629280.0,0.6666666865348816,71.0,7990,Fun,-0.10999999940395357,0,0,NASDAQ Global Market,None,1,9.00100040435791,8.800000190734863,8.800000190734863,2,17.5,8.5+,69.02478790283203,1811313.0,125025504.0,16301817.0,1125229536.0,0.9569772154880638,-2.387501667727562,0.147807578814628,-3.7696308746733775,7612800000.0,0.0,0.0,8.666666984558105,4.603333473205566,10.300000190734863,29.0,-1.5226338821751546,-1.4688124571892696,0.05160432075999175,-0.9799473395348108,-3.628054151226828,-4.052864649010547,1.1966762617702262,-2.161414179489049,5.57761875316521,1.4575296661417751,39.67959030891011,15.571579576072367,-0.708604068214639,-1.4280941936201603,Entertainment company,0.0,Caesars Entertainment,0.0,0.0,0.0,0.0,14,30,2012-08-06,180,8,7,"[8.0, 10.0]",-100.0,True,2.0,4,3,2,Citigroup Global Markets Inc,Multiple Lead Underwriters,0.8942930168574506,0.4167685208841962
0860730,16.0,16.0,16.0,79.0,1.5,1.5,5.263157894736842,5.263157894736842,5.263157894736842,16.0,-3.0,3.0,100.0,1,1,0,within,"HCA HOLDINGS, INC.",2011,2011-02-22,2011-03-10,2010-12-22,2011-03-11,2011-03-10,2011/03/10,30.0,31.20000076293945,31.020000457763672,31.5,30.70000076293945,64595368.0,4.0,3.400000095367432,8062,Hlth,0.05000000074505806,0,0,New York Stock Exchange,Up,0,9.00100040435791,8.800000190734863,8.800000190734863,3,26.5,8.5+,4.082449436187743,126200000.0,515205088.0,3596700000.0,14683345008.0,1.4466292134831462,9.334612211061666,0.4785498487110126,3.0531530775565634,30683000000.0,0.0,5.263157894736842,9.666666984558104,5.960000038146973,10.733333587646484,42.66666793823242,0.7291781429567933,2.34315608127536,0.8929942380337557,1.3217761540886364,0.6094479098410679,3.258657797593939,0.40949908913655775,1.4258682655238546,2.7226742349788093,10.942596482427481,4.155205750163135,5.940158822523142,1.6180751596545575,1.8340784433652484,Health Care company,1.0,Hospital Corporation of America,0.0,5.263157894736842,5.263157894736842,0.0,12,23,2011-09-06,180,33,5,"[27.0, 30.0]",-100.0,True,3.0,4,1,2,BofA Merrill Lynch,Multiple Lead Underwriters,0.6850868558073494,0.2949305002877802
0867773,15.0,17.0,17.0,84.0,4.0,5.0,30.76923076923077,38.46153846153847,30.76923076923077,15.0,0.0,0.0,88.23529411764706,2,2,0,above,SUNPOWER CORP,2005,2005-10-31,2005-11-17,2005-08-25,2005-11-17,2005-11-17,2005/11/17,18.0,28.0,25.45000076293945,28.01000022888184,24.809999465942386,10565580.0,55.55555725097656,41.38888931274414,3674,Chips,0.3400000035762787,0,0,NASDAQ Global Market,Up,1,9.00100040435791,8.5,8.5,2,17.0,7+,1.009954810142517,7700000.0,7776652.0,100100000.0,101096476.0,0.3178522235638914,-6.649771492468593,2.0466945237372203,-1.9549543942560368,49395000.0,0.0,30.76923076923077,17.0,-2.2300000190734863,9.366666793823242,37.33333206176758,1.4019630645570351,1.3151990291325144,0.0,0.9057206978965164,0.92967304866403,1.3930480597697736,0.0,0.7742403694779345,0.3103733270097244,0.2219389359766652,0.0,0.1774374209954632,1.3151990291325144,1.3930480597697736,Corporation,1.0,Sunpower,0.0,38.46153846153847,30.76923076923077,0.0,0,0,2006-05-16,180,4,8,"[12.0, 14.0]",0.0,True,2.0,5,3,3,Credit Suisse First Boston LLC,Multiple Lead Underwriters,0.7169665264152856,0.818251794987338
0868857,,28.0,28.0,64.0,,1.0,,5.263157894736842,5.263157894736842,28.0,,0.0,100.0,1,1,0,within,AECOM TECHNOLOGY CORP,2007,2007-04-12,2007-05-10,2007-03-08,2007-05-11,2007-05-10,2007/05/10,20.0,21.100000381469727,21.100000381469727,21.989999771118164,20.600000381469727,20008400.0,5.5,5.5,8711,BusSv,0.10999999940395357,0,0,New York Stock Exchange,None,1,9.00100040435791,5.699999809265138,5.699999809265138,3,17.0,0+,2.6268904209136963,35150000.0,92335200.0,667850000.0,1754368800.0,0.6212525214382457,37.552309602294606,0.8675296623872918,0.5059608903213509,2022258000.0,0.0,0.0,11.333333015441895,1.2999999523162842,11.899999618530273,57.66666793823242,1.4560723097240147,0.5948309766646732,0.2839206001215079,0.7782746288367319,1.4080960435910812,0.12296945314804278,12.859480726559315,4.7968487410994785,1.1338378904720547,3.150802161048288,48.23344551338321,17.506028521634512,0.43937578839309055,6.491225089853677,Energy company,0.0,AECOM Technology,0.0,5.263157894736842,5.263157894736842,0.0,0,10,2007-11-06,180,6,6,"[18.0, 20.0]",-100.0,True,2.0,5,1,4,"Merrill Lynch, Pierce, Fenner and Smith Incorporated",Multiple Lead Underwriters,1.0230195501553225,0.731420535670144
0880059,,11.0,11.0,651.0,,-1.0,,-5.263157894736842,-5.263157894736842,11.0,,0.0,100.0,1,0,1,within,EDUCATION MANAGEMENT CORPORATION,2009,2009-09-21,2009-10-02,2007-12-21,2009-10-02,2009-10-02,2009/10/02,18.0,20.5,21.770000457763672,22.899999618530273,20.059999465942386,7660497.0,13.88888931274414,20.94444465637207,8200,PerSv,-0.7799999713897705,0,0,NASDAQ Global Market,None,1,9.00100040435791,9.0,9.0,1,9.0,8.5+,6.988513946533202,20000000.0,139770272.0,380000000.0,2655635168.0,0.6533096707422796,25.43590027297543,1.3202538496950968,0.7469757231351742,2011458000.0,0.0,0.0,2.6666667461395264,3.5366666316986084,6.666666507720947,44.33333206176758,2.919690341195322,0.17968564536211998,0.0,1.0331253288524809,4.446907611873909,0.6769972407429903,0.0,1.7079682842056332,2.1658478190278294,0.5184945218585096,0.0,0.8947807802954464,0.17968564536211998,0.6769972407429903,Company,0.0,Education Management Corporation,5.263157894736842,0.0,0.0,-5.263157894736842,5,16,2010-03-31,180,13,9,"[18.0, 20.0]",-100.0,True,2.0,3,6,3,"Goldman, Sachs and Co","Goldman, Sachs and Co",0.7881471943742481,0.45314015491898246
0880177,,14.0,14.0,628.0,,-1.0,,-6.666666666666668,-6.666666666666668,14.0,,0.0,100.0,1,0,1,within,PEREGRINE SEMICONDUCTOR CORP,2012,2012-07-25,2012-08-08,2010-11-19,2012-08-08,2012-08-08,2012/08/08,14.0,15.0,14.710000038146973,15.43000030517578,13.989999771118164,3484397.0,7.142857074737549,5.0714287757873535,3674,Chips,-0.20000000298023224,0,0,NASDAQ Global Market,None,1,9.00100040435791,8.800000190734863,8.800000190734863,2,17.5,8.5+,5.558196544647217,5500000.0,30570080.0,82500000.0,458551200.0,0.7770942328750456,-149.4625814863103,5.708058854283367,-0.10035956726315404,80334000.0,0.0,0.0,6.0,-2.440000057220459,14.366666793823242,52.0,1.9367479960113352,0.0,0.0,0.6455826653371117,5.471971157656678,0.0,0.0,1.8239903858855595,57.92403058665354,0.0,0.0,19.308010195551176,1.9367479960113352,5.471971157656678,Company,0.0,Peregrine Semiconductor,6.666666666666668,0.0,0.0,-6.666666666666668,0,14,2013-02-04,180,6,11,"[14.0, 16.0]",-100.0,True,2.0,2,9,2,Deutsche Bank Securities Inc,Multiple Lead Underwriters,0.48484636741961895,0.43632098276383646
